Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,true,MULTIPLE_CHOICE,"Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Prevención de fraudes, seguridad y cumplimiento"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Gestión de cuentas
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Funcionalidad de la aplicación
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Análisis
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,true,MULTIPLE_CHOICE,"Uso y gestión de datos (IDs de usuario)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Prevención de fraudes, seguridad y cumplimiento"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,true,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Personalización
